,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
253,alexnet,train_finetune_data,3,RVvRHGV,2,present,1.0,,,
254,alexnet,train_finetune_data,3,RVvRHGV,4,present,0.96,,,
255,alexnet,train_finetune_data,3,RVvRHGV,8,present,0.89,,,
256,alexnet,train_finetune_data,3,RVvRHGV,1,absent,1.0,,,
257,alexnet,train_finetune_data,3,RVvRHGV,2,absent,1.0,,,
258,alexnet,train_finetune_data,3,RVvRHGV,4,absent,0.99,,,
259,alexnet,train_finetune_data,3,RVvRHGV,8,absent,0.97,,,
260,alexnet,train_finetune_data,3,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
261,alexnet,train_finetune_data,3,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
262,alexnet,train_finetune_data,3,RVvRHGV,4,both,0.975,0.9896907216494846,0.038834951456310676,4.079266062802997
263,alexnet,train_finetune_data,3,RVvRHGV,8,both,0.93,0.967391304347826,0.10185185185185185,3.114835150306175
264,alexnet,train_finetune_data,0,2_v_5,1,present,0.99,,,
265,alexnet,train_finetune_data,0,2_v_5,2,present,0.77,,,
266,alexnet,train_finetune_data,0,2_v_5,4,present,0.49,,,
267,alexnet,train_finetune_data,0,2_v_5,8,present,0.37,,,
268,alexnet,train_finetune_data,0,2_v_5,1,absent,0.98,,,
269,alexnet,train_finetune_data,0,2_v_5,2,absent,0.8,,,
270,alexnet,train_finetune_data,0,2_v_5,4,absent,0.7,,,
271,alexnet,train_finetune_data,0,2_v_5,8,absent,0.69,,,
272,alexnet,train_finetune_data,0,2_v_5,1,both,0.985,0.9801980198019802,0.010101010101010102,4.380430512541647
273,alexnet,train_finetune_data,0,2_v_5,2,both,0.785,0.7938144329896907,0.22330097087378642,1.580820383947489
274,alexnet,train_finetune_data,0,2_v_5,4,both,0.595,0.620253164556962,0.4214876033057851,0.5042350430860513
275,alexnet,train_finetune_data,0,2_v_5,8,both,0.53,0.5441176470588235,0.4772727272727273,0.16781258665753118
276,alexnet,train_finetune_data,1,2_v_5,1,present,0.91,,,
277,alexnet,train_finetune_data,1,2_v_5,2,present,0.71,,,
278,alexnet,train_finetune_data,1,2_v_5,4,present,0.52,,,
279,alexnet,train_finetune_data,1,2_v_5,8,present,0.36,,,
280,alexnet,train_finetune_data,1,2_v_5,1,absent,0.65,,,
281,alexnet,train_finetune_data,1,2_v_5,2,absent,0.48,,,
282,alexnet,train_finetune_data,1,2_v_5,4,absent,0.51,,,
283,alexnet,train_finetune_data,1,2_v_5,8,absent,0.68,,,
284,alexnet,train_finetune_data,1,2_v_5,1,both,0.78,0.7222222222222222,0.12162162162162163,1.7563743989850955
285,alexnet,train_finetune_data,1,2_v_5,2,both,0.595,0.5772357723577236,0.37662337662337664,0.5091880674482394
286,alexnet,train_finetune_data,1,2_v_5,4,both,0.515,0.5148514851485149,0.48484848484848486,0.07522410660621606
287,alexnet,train_finetune_data,1,2_v_5,8,both,0.52,0.5294117647058824,0.48484848484848486,0.1117796250385549
288,alexnet,train_finetune_data,2,2_v_5,1,present,1.0,,,
289,alexnet,train_finetune_data,2,2_v_5,2,present,0.81,,,
290,alexnet,train_finetune_data,2,2_v_5,4,present,0.58,,,
291,alexnet,train_finetune_data,2,2_v_5,8,present,0.56,,,
292,alexnet,train_finetune_data,2,2_v_5,1,absent,0.91,,,
293,alexnet,train_finetune_data,2,2_v_5,2,absent,0.7,,,
294,alexnet,train_finetune_data,2,2_v_5,4,absent,0.58,,,
295,alexnet,train_finetune_data,2,2_v_5,8,absent,0.39,,,
296,alexnet,train_finetune_data,2,2_v_5,1,both,0.955,0.9174311926605505,0.005494505494505495,3.931046199566878
297,alexnet,train_finetune_data,2,2_v_5,2,both,0.755,0.7297297297297297,0.21348314606741572,1.4063894567725117
298,alexnet,train_finetune_data,2,2_v_5,4,both,0.58,0.58,0.42,0.4037869582837016
299,alexnet,train_finetune_data,2,2_v_5,8,both,0.475,0.47863247863247865,0.5301204819277109,-0.12915879296101615
300,alexnet,train_finetune_data,3,2_v_5,1,present,0.91,,,
301,alexnet,train_finetune_data,3,2_v_5,2,present,0.66,,,
302,alexnet,train_finetune_data,3,2_v_5,4,present,0.4,,,
303,alexnet,train_finetune_data,3,2_v_5,8,present,0.4,,,
304,alexnet,train_finetune_data,3,2_v_5,1,absent,0.99,,,
305,alexnet,train_finetune_data,3,2_v_5,2,absent,0.85,,,
306,alexnet,train_finetune_data,3,2_v_5,4,absent,0.61,,,
